[0416/123739.004:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/build/three.js (21172)
[0416/123739.913:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123740.007:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123740.007:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123740.665:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123740.697:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123740.697:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123740.848:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123740.848:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123740.848:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123740.904:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123740.920:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123740.920:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_1_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123740.960:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123740.960:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_2_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123740.968:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_2_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123741.024:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123741.024:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123741.024:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/box_closed.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123741.128:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0416/123741.128:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0416/123741.128:INFO:CONSOLE(271)] "load end: file:C:/Users/Grigo/Documents/GitHub/Practic_MIREA/semestr-4/MM/YandexM_Dos/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0416/123929.157:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
